Index_day,Map_day,Map_s
1,1,1
2,1,1
3,2,1
4,2,1
5,2,1
6,2,1
7,2,1
8,2,1
9,1,1
10,2,1
11,2,1
12,2,1
13,2,1
14,1,1
15,2,1
16,2,1
17,2,1
18,2,1
19,2,1
20,2,1
21,2,1
22,2,1
23,2,1
24,2,1
25,2,1
26,2,1
27,2,1
28,2,1
29,2,1
30,2,1
31,2,1
32,2,1
33,2,1
34,2,1
35,2,1
36,2,1
37,2,1
38,2,1
39,2,1
40,2,1
41,1,1
42,1,1
43,1,1
44,1,1
45,2,1
46,2,1
47,1,1
48,1,1
49,2,1
50,1,1
51,1,1
52,1,1
53,1,1
54,2,1
55,2,1
56,2,1
57,2,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,5,3
92,5,3
93,5,3
94,5,3
95,5,3
96,5,3
97,5,3
98,5,3
99,5,3
100,5,3
101,5,3
102,5,3
103,5,3
104,5,3
105,5,3
106,5,3
107,5,3
108,5,3
109,5,3
110,5,3
111,5,3
112,5,3
113,5,3
114,5,3
115,5,3
116,5,3
117,5,3
118,5,3
119,5,3
120,5,3
121,5,3
122,5,3
123,5,3
124,5,3
125,5,3
126,5,3
127,5,3
128,5,3
129,5,3
130,5,3
131,5,3
132,5,3
133,5,3
134,5,3
135,5,3
136,5,3
137,5,3
138,5,3
139,5,3
140,5,3
141,5,3
142,5,3
143,5,3
144,5,3
145,5,3
146,5,3
147,5,3
148,5,3
149,5,3
150,5,3
151,5,3
152,3,2
153,3,2
154,3,2
155,3,2
156,3,2
157,3,2
158,3,2
159,3,2
160,3,2
161,3,2
162,3,2
163,3,2
164,4,2
165,4,2
166,4,2
167,4,2
168,4,2
169,3,2
170,3,2
171,3,2
172,4,2
173,4,2
174,4,2
175,4,2
176,4,2
177,3,2
178,4,2
179,3,2
180,3,2
181,4,2
182,4,2
183,4,2
184,3,2
185,3,2
186,4,2
187,4,2
188,4,2
189,4,2
190,4,2
191,3,2
192,4,2
193,4,2
194,4,2
195,4,2
196,4,2
197,4,2
198,4,2
199,4,2
200,4,2
201,4,2
202,4,2
203,4,2
204,4,2
205,4,2
206,4,2
207,4,2
208,4,2
209,4,2
210,4,2
211,4,2
212,3,2
213,4,2
214,4,2
215,4,2
216,4,2
217,4,2
218,4,2
219,4,2
220,4,2
221,4,2
222,4,2
223,4,2
224,4,2
225,3,2
226,3,2
227,3,2
228,4,2
229,4,2
230,3,2
231,3,2
232,3,2
233,3,2
234,3,2
235,4,2
236,4,2
237,4,2
238,4,2
239,3,2
240,3,2
241,4,2
242,4,2
243,4,2
244,4,2
245,3,2
246,3,2
247,3,2
248,3,2
249,3,2
250,3,2
251,3,2
252,3,2
253,3,2
254,3,2
255,3,2
256,3,2
257,3,2
258,3,2
259,3,2
260,3,2
261,3,2
262,3,2
263,3,2
264,3,2
265,3,2
266,3,2
267,3,2
268,3,2
269,3,2
270,3,2
271,3,2
272,3,2
273,3,2
274,6,4
275,6,4
276,6,4
277,6,4
278,6,4
279,6,4
280,6,4
281,6,4
282,6,4
283,6,4
284,6,4
285,6,4
286,6,4
287,6,4
288,6,4
289,6,4
290,6,4
291,6,4
292,6,4
293,6,4
294,6,4
295,6,4
296,6,4
297,6,4
298,6,4
299,6,4
300,6,4
301,6,4
302,6,4
303,6,4
304,6,4
305,6,4
306,6,4
307,6,4
308,6,4
309,6,4
310,6,4
311,6,4
312,6,4
313,6,4
314,6,4
315,6,4
316,6,4
317,6,4
318,6,4
319,6,4
320,6,4
321,6,4
322,6,4
323,6,4
324,6,4
325,6,4
326,6,4
327,6,4
328,6,4
329,6,4
330,6,4
331,6,4
332,6,4
333,6,4
334,6,4
335,2,1
336,2,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,2,1
348,2,1
349,2,1
350,2,1
351,2,1
352,2,1
353,2,1
354,2,1
355,2,1
356,2,1
357,2,1
358,2,1
359,2,1
360,2,1
361,2,1
362,2,1
363,1,1
364,1,1
365,1,1
